"File","Ext","Lines"
"components\profile\ProfilePhotoEditor.tsx",".tsx","276"
"components\profile\ProfileSocialsEditor.tsx",".tsx","85"
"components\profile\ProfileStrategicFields.tsx",".tsx","236"
"components\profile\ProfileTagsEditor.tsx",".tsx","126"
"components\push\InstallPrompt.tsx",".tsx","285"
"components\push\PushAutoSubscriber.tsx",".tsx","164"
"components\push\PushPermissionPrompt.tsx",".tsx","130"
"components\push\PushSettingsButton.tsx",".tsx","67"
"components\shared\AdminBulkActionBar.tsx",".tsx","67"
"components\support\FAQContent.tsx",".tsx","314"
"components\support\PrivacyContent.tsx",".tsx","161"
"components\support\SupportDocsSheet.tsx",".tsx","90"
"components\support\TermsContent.tsx",".tsx","158"
"components\tools\MyProgressView.tsx",".tsx","256"
"components\ui\icons\CustomIcons.tsx",".tsx","84"
"components\ui\Avatar.tsx",".tsx","93"
"components\ui\BirthdayGreetingModal.tsx",".tsx","64"
"components\ui\Button.tsx",".tsx","89"
"components\ui\CardSkeleton.tsx",".tsx","55"
"components\ui\DeleteConfirmSheet.tsx",".tsx","71"
"components\ui\ErrorBoundary.tsx",".tsx","119"
"components\ui\ErrorRetry.tsx",".tsx","32"
"components\ui\MessageContextMenu.tsx",".tsx","92"
"components\ui\ModalWrapper.tsx",".tsx","154"
"components\ui\PremiumLoader.tsx",".tsx","21"
"components\ui\PullToRefresh.tsx",".tsx","89"
"components\ui\SwipeableItem.tsx",".tsx","240"
"components\ui\UndoToast.tsx",".tsx","72"
"components\AdminChatManager.tsx",".tsx","926"
"components\FavoriteButton.tsx",".tsx","88"
"components\FavoritesPage.tsx",".tsx","200"
"components\ImageUpload.tsx",".tsx","255"
"components\MemberBook.tsx",".tsx","660"
"components\ModalHeader.tsx",".tsx","68"
"components\OfflineBanner.tsx",".tsx","35"
"components\ProfileEdit.tsx",".tsx","336"
"components\ProfileHistory.tsx",".tsx","178"
"components\ProfilePreview.tsx",".tsx","516"
"components\ProfileSection.tsx",".tsx","216"
"components\SupportWidget.tsx",".tsx","288"
"components\TagSuggestions.tsx",".tsx","112"
"contexts\AppContext.tsx",".tsx","471"
"contexts\AuthContext.tsx",".tsx","277"
"contexts\UnreadCountContext.tsx",".tsx","121"
"docs\admin-chat-manager.md",".md","304"
"docs\admin_audit_report.md",".md","104"
"docs\ADMIN_JA_EXISTE.md",".md","117"
"docs\admin_notification_audit.md",".md","67"
"docs\Admin_Panel_Report_Prosperus.md",".md","188"
"docs\admin_ux_audit.md",".md","157"
"docs\agenda_architecture.md",".md","279"
"docs\analytics_audit_report.md",".md","115"
"docs\analytics_audit_v2.md",".md","130"
"docs\APP_PRESENTATION_SCREENS.md",".md","346"
"docs\auditoria.md",".md","245"
"docs\auditoria_completa.md",".md","352"
"docs\auditoria_paridade_socio.md",".md","74"
"docs\AUDITORIA_SISTEMA_2026.md",".md","95"
"docs\AutoUpdateManager.tsx",".tsx","220"
"docs\CHANGELOG.md",".md","48"
"docs\CHECKLIST_EXECUTIVO.md",".md","394"
"docs\CHECKLIST_FASE_EXTRA.md",".md","281"
"docs\CHECKLIST_POS_DEPLOY.md",".md","193"
"docs\CHECKLIST_RAPIDO.md",".md","120"
"docs\CORRECAO_CORS.md",".md","43"
"docs\CORRECAO_ROLESELECTOR.md",".md","148"
"docs\CORRIGIR_ERRO_401.md",".md","38"
"docs\CURSEDUCA_INTEGRATION.md",".md","149"
"docs\DESIGN_SYSTEM.md",".md","129"
"docs\design_system_guidelines.md",".md","54"
"docs\DIAGNOSTICO_GALERIA.md",".md","111"
"docs\Documento-de-Requisitos-do-Produto-PRD.md",".md","272"
"docs\ERRO_EDGE_FUNCTION.md",".md","145"
"docs\estruturas-das-tabelas.md",".md","102"
"docs\ETAPA_0_PARTE_2_CHECKLIST.md",".md","45"
"docs\ETAPA_0_PARTE_2_STORAGE.md",".md","192"
"docs\extract_docx.js",".js","34"
"docs\FAQ_USABILIDADE.md",".md","265"
"docs\FASE_10_NOTIFICATION_CENTER.md",".md","304"
"docs\FASE_12_5_ADVANCED_PROFILE.md",".md","325"
"docs\FASE_12_PROFILE_EDIT.md",".md","290"
"docs\FASE_6_GALLERY_MULTI_ALBUM.md",".md","134"
"docs\FASE_8_CHAT_SYSTEM_PARTE_1.md",".md","363"
"docs\FASE_EXTRA_AUTH_IMPLEMENTATION.md",".md","209"
"docs\FASE_EXTRA_ENTREGA.md",".md","275"
"docs\FASE_EXTRA_RESUMO.md",".md","302"
"docs\FIX_CURSEDUCA_LOCALHOST_UUID.md",".md","183"
"docs\FIX_DUPLICATE_POLICY_ERROR.md",".md","151"
"docs\FIX_ENUM_ERROR.md",".md","130"
"docs\FIX_MODALS_AND_VIDEOS.md",".md","225"
"docs\FIX_PROFILE_EDIT_ERRORS.md",".md","115"
"docs\FIX_SESSION_PERSISTENCE.md",".md","138"
"docs\FIX_STORAGE_RLS_POLICY.md",".md","99"
"docs\FIX_VIDEOS_RLS_POLICY.md",".md","257"
"docs\FIX_VIDEO_SAVE_ISSUE.md",".md","129"
"docs\functions-triggers.md",".md","33"
"docs\GALLERY_COVER_IMAGE.md",".md","123"
"docs\GUIA_LIMPEZA_CACHE.md",".md","455"
"docs\GUIA_PASSO_A_PASSO.md",".md","299"
"docs\GUIA_RAPIDO_CHAT.md",".md","145"
"docs\INDEX.md",".md","257"
"docs\indice.md",".md","98"
"docs\INICIO_RAPIDO.md",".md","115"
"docs\INSTALAR_SUPABASE_CLI.md",".md","119"
"docs\LOGIN_SYSTEM.md",".md","186"
"docs\master_audit_v3_26_02_2026.md",".md","214"
"docs\MOBILE_AUDIT_2026.md",".md","241"
"docs\planejamento_melhorias_2026.md",".md","206"
"docs\PLANEJAMENTO_PENDENCIAS.md",".md","405"
"docs\PLANO_ACAO_SPRINTS.md",".md","363"
"docs\POLITICA_PRIVACIDADE.md",".md","179"
"docs\PROMPT_APP_TOUR_V1.md",".md","657"
